id,end_id,start_id
1,2002,1
2,10002,2003
3,24002,10003
4,34002,24003
5,66002,34003
6,68004,66003
7,102006,68005
8,136008,102007
9,170010,136009
10,204012,170011
11,238015,204014
12,272017,238016
13,306019,272018
14,340021,306020
15,342019,340022
16,344017,342020
17,346015,344018
18,348013,346016
19,350011,348014
20,352009,350012
21,354007,352010
22,356005,354008
23,358003,356006
24,360001,358004
25,364001,360002
26,368001,364002
27,376001,368002
28,384001,376002
29,392001,384002
30,400001,392002
31,408001,400002
32,416001,408002
33,424001,416002
34,432001,424002
35,440001,432002
